name,type,座標(經緯度),營業時間
東湖分隊,消防機構,"25.067472,121.612919",
大湖分隊,消防機構,"25.083885,121.601650",
內湖分隊,消防機構,"25.069513,121.590369",
民權分隊,消防機構,"25.066890,121.577709",
建成分隊,消防機構,"25.054751,121.518246",
延平分隊,消防機構,"25.050233,121.511369",
大同分隊,消防機構,"25.061474,121.513735",
山仔后分隊,消防機構,"25.133855,121.545674",
天母分隊,消防機構,"25.125262,121.532902",
福安分隊,消防機構,"25.096353,121.496689",
社子分隊,消防機構,"25.079096,121.511489",
劍潭分隊,消防機構,"25.089936,121.527654",
雙溪分隊,消防機構,"25.097620,121.544680",
後港分隊,消防機構,"25.087333,121.518046",
陽明山分隊,消防機構,"25.151573,121.546645",
光明分隊,消防機構,"25.135154,121.502469",
關渡分隊,消防機構,"25.123056,121.466670",
石牌分隊,消防機構,"25.117942,121.516906",
秀山分隊,消防機構,"25.145280,121.492899",
全家新德店,便利商店(全家),"25.044475,121.531597",
全家台大醫院店,便利商店(全家),"25.040793,121.518534",
全家新惠安店,便利商店(全家),"25.029530,121.506467",
全家南機場店,便利商店(全家),"25.028401,121.505774",
全家高鐵一店,便利商店(全家),"25.047203,121.517044",
全家高鐵二店,便利商店(全家),"25.047203,121.517044",
全家台鐵西店,便利商店(全家),"25.047203,121.517044",
全家台鐵北店,便利商店(全家),"25.047203,121.517044",
全家台鐵二店,便利商店(全家),"25.047203,121.517044",
全家台鐵南店,便利商店(全家),"25.047203,121.517044",
全家台鐵東店,便利商店(全家),"25.047203,121.517044",
全家台鐵一店,便利商店(全家),"25.047203,121.517044",
全家新龍口店,便利商店(全家),"25.027225,121.510372",
全家金門店,便利商店(全家),"25.022299,121.523802",
全家新廈門店,便利商店(全家),"25.025318,121.517592",
全家公館店,便利商店(全家),"25.013659,121.534399",
全家文盛店,便利商店(全家),"25.015119,121.532452",
全家新水源店,便利商店(全家),"25.013186,121.534540",
全家辛館店,便利商店(全家),"25.019074,121.527913",
全家和鄰店,便利商店(全家),"25.026387,121.518738",
全家郡王店,便利商店(全家),"25.044961,121.510301",
全家寶慶店,便利商店(全家),"25.041885,121.509561",
全家和醫店,便利商店(全家),"25.035301,121.507736",
全家亞慶店,便利商店(全家),"25.046308,121.515803",
全家凱撒店,便利商店(全家),"25.046254,121.516417",
全家鴻啟店,便利商店(全家),"25.047165,121.512733",
全家崇聖店,便利商店(全家),"25.045747,121.518491",
全家台北地下街店,便利商店(全家),"25.046910,121.516746",
全家北車捷運店,便利商店(全家),"25.046481,121.517243",
全家北車店,便利商店(全家),"25.046330,121.517916",
