zip,id,station,address,dir_cn,dir_en,dir_short,lat,lon,lat_offset,lon_offset
10001,LAAA039-02,大同分局 寧夏路派出所,"民生西路,寧夏路45巷口燈桿",北,North,N,25.0572145,121.5156604,25.057394163056827,121.5156604
10001,LAAA040-01,大同分局 寧夏路派出所,承德路2段159號前分隔島,東南,Southeast,SE,25.058227,121.518416,25.05809995896834,121.51855624058167
10001,LAAA041-01,大同分局 寧夏路派出所,歸綏街97巷37之1號 ,南,South,S,25.0596148,121.5158273,25.05943513694318,121.51582730000001
10001,LAAA042-01,大同分局 寧夏路派出所,寧夏路110號前號誌桿,南,South,S,,,,
10001,LAAA043-01,大同分局 寧夏路派出所,歸綏街171號對面燈桿,東北,Northeast,NE,25.0583224,121.5139022,25.05844944089996,121.51404244098164
10001,LAAA044-01,大同分局 寧夏路派出所,錦西街100號前號誌桿(西南角),東,East,E,25.0601324,121.5178937,25.06013239986829,121.51809203342212
10001,LAAA044-02,大同分局 寧夏路派出所,錦西街100號前號誌桿(西南角),西,West,W,25.0601324,121.5178937,25.06013239986829,121.51769536657788
10001,LAAA045-01,大同分局 寧夏路派出所,保安街1號-4,西,West,W,,,,
10001,LAAA046-01,大同分局 寧夏路派出所,寧夏路131-1號,北,North,N,25.0607497,121.5144979,25.060929363056825,121.5144979
10001,LAAA047-01,大同分局 寧夏路派出所,民權西路118巷14號右前燈桿,北,North,N,25.0622616,121.5168227,25.062441263056826,121.5168227
10001,LAAA048-01,大同分局 寧夏路派出所,民權西路136號前燈桿,北,North,N,25.0626752,121.5160296,25.06285486305682,121.51602960000001
10001,LAAA049-01,大同分局 寧夏路派出所,重慶北路2段與民權西路南端分隔島號誌,北,North,N,25.0629329,121.5136308,25.063112563056826,121.51363080000002
10001,LAAA050-01,大同分局 寧夏路派出所,涼州街1-20號,西,West,W,25.0609767,121.5157933,25.060976699868284,121.51559496521128
